Project name,Country,Partners,Project type,Announcement,Operation,Project Status,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
Shell Deer Park Chemical complex (TX),United States,Wood Environment & Infrastructure Solutions,Capture,2021,,Planned,,,Chemicals,Unknown/unspecified,,North America
Shell Netherlands Refineries biodiesel,Netherlands,Shell,Capture,2021,2026,Under construction,0.38,0.38,Biofuels,Dedicated storage,Porthos,Europe & Central Asia
Shell Netherlands Refineries heavy residue gasification CCS,Netherlands,Shell,Capture,2021,2026,Under construction,0.75,0.75,Other fuel transformation,Dedicated storage,Porthos,Europe & Central Asia
Shell Netherlands Refineries heavy residue gasification CCU,Netherlands,Shell,CCU,,1997,Operational,0.75,0.75,Other fuel transformation,Use,,Europe & Central Asia
Shell Uniper Humber Hub Blue North Killingholme,United Kingdom,"Shell, Uniper",Capture,2022,2027,Planned,1.6,1.6,Hydrogen or ammonia,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Shepard Energy Centre (SEC) (ALB),Canada,Enmax Energy Corporation,Capture,2022,,Planned,,,Power and heat,Unknown/unspecified,,North America
Sinopec Nanjing Chemical Industries CCUS Cooperation Project (Jiangsu),China,Sinopec,Full chain,2015,2021,Operational,0.2,0.2,Chemicals,EOR,Jiangsu oilfield,East Asia & Pacific
Sinopec Qilu Petrochemical Shengli (Shandong),China,"Sinopec, Qilu Petrochemical",Full chain,2012,2022,Operational,0.85,1,Chemicals,EOR,Shengli oilfield,East Asia & Pacific
Sinopec Shengli Power Plant CCS (Shandong),China,Sinopec,Full chain,2011,2030,Planned,1.5,2,Power and heat,EOR,Shengli oilfield,East Asia & Pacific
Siouxland Energy Cooperative Sioux Center biorefinery (IA),United States,"Siouxland Energy Cooperative, Summit Carbon Solutions",Capture,2021,2024,Planned,0.175,0.186,Biofuels,Dedicated storage,Midwest carbon express,North America
Sizewell C nuclear-powered DAC Full-scale,United Kingdom,"Sizewell C,  Nottingham University, Strata Technology, Atkins and Doosan Babcock",Capture,2022,2030,Planned,0.05,0.05,DAC,Dedicated storage,,Europe & Central Asia
SK E&S Honeywell gas power plant,South Korea,"Honeywell, SK E&S ",Capture,2023,,Planned,,,Power and heat,Unknown/unspecified,,East Asia & Pacific
Sleipner,Norway,"Equinor, Eni",Full chain,1991,1996,Operational,1,1,Natural gas processing/LNG,Dedicated storage,,Europe & Central Asia
Snohvit CO2 capture and storage,Norway,"Equinor, Petoro, TotalEnergies, Eni (following acquisition of Neptune Energy), Wintershall",Full chain,2002,2008,Operational,0.7,0.7,Natural gas processing/LNG,Dedicated storage,,Europe & Central Asia
Soderenergi Igelsta plant,Sweden,"Soderenergi, Aker CC (feasibility) (first feasibility by biorecro)",Capture,2020,2030,Planned,0.5,0.5,Power and heat,Dedicated storage,,Europe & Central Asia
South East Australia carbon capture and storage (SEA CCS) hub,Australia,"Esso Australia Resources Pty Ltd (ExxonMobil), BHP Petroleum Pty Ltd ",T&S,2022,2025,Planned,1.25,2,T&S,Dedicated storage,Sea CCS hub,East Asia & Pacific
South Texas DAC Hub (TX),United States,"1PointFive, Oxy low carbon ventures (Occidental)",Full chain,2022,,Planned,1,1,DAC,Dedicated storage,South Texas DAC Hub,North America
South West Blue Hydrogen,Australia,Pilot Energy,Capture,2021,,Planned,,,Hydrogen or ammonia,Dedicated storage,South West Hub Project,East Asia & Pacific
South West Hub Project,Australia,"Department of Mines, Industry Regulation and Safety (DMIRS)",Storage,2010,,Planned,0.8,0.8,Storage,Dedicated storage,South West Hub Project,East Asia & Pacific
Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn) (SK),Canada,Whitecap Resources Inc.,T&S,2021,2025,Planned,2.1,3,T&S,Dedicated storage,Southeast Saskatchewan CCUS Hub (Belle Plaine and Weyburn),North America
Southeastern Illinois Basin CarbonSAFE (KT),United States,Battelle Memorial Institute,Storage,2023,,Planned,,,Storage,Dedicated storage,Southeastern Illinois Basin CarbonSAFE (KT),North America
Stade facility Green Methanol,Germany,Dow,CCU,2019,,Planned,,0.274,Chemicals,Use,,Europe & Central Asia
Stakraft Varme Trondheim,Norway,Statkraft Varme,Capture,2023,2030,Planned,0.24,0.24,Power and heat,Dedicated storage,Northern Lights,Europe & Central Asia
Stenlille project (CO2RYLUS),Denmark,Gas Storage Denmark,Storage,2022,2026,Planned,0.5,0.5,Storage,Dedicated storage,,Europe & Central Asia
Stockholm Exergi Värtan CHP CCS (BECCS@STHLM),Sweden,"Stockolm Exergi, CO2 Capsol (FEED)",Capture,2021,2026,Planned,0.8,0.8,Power and heat,Dedicated storage,,Europe & Central Asia
STRATOS (Ector County) (TX),United States,"1PointFive, Oxy low carbon ventures (Occidental), Blackrock",Full chain,2019,2025,Under construction,0.5,0.5,DAC,Mixed,,North America
Structure A&E,Lybia,"Eni, National Oil Corporation (NOC) Libya",Full chain,2023,2027,Planned,1.6,1.6,Natural gas processing/LNG,Dedicated storage,,Africa
Stryde CO2 storage assessment Brazil,Brazil,"Stryde, bioethanol producers (XX)",Storage,2023,,Planned,,,Storage,Dedicated storage,,Latin America & Caribbean
Suek Blue Ammonia Borodinsky,Russia,"Agency for Economic Development of the Leningrad Region, Suek",Full chain,2021,2027,Planned,,,Hydrogen or ammonia,EOR,,Europe & Central Asia
Suez Tees Valley / Haverton Hill Waste to Energy CCS,United Kingdom,Suez,Capture,2020,2027,Planned,0.24,0.24,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Sukowati CO2-EOR (Jambaran Tiung Biru gas processing),Indonesia,"Pertamina, Lemigas, JAPEX (supported by METI), JOGMEC",Full chain,2020,2025,Planned,0.7,0.93,Natural gas processing/LNG,EOR,,East Asia & Pacific
Suncor Edmonton Refinery - Fluid Catalytic Cracker Capture (ALB),Canada,"Suncor, Svante",Capture,2022,,Planned,,,Other fuel transformation,Unknown/unspecified,,North America
Sunda Asri Basin CCUS hub,Indonesia,"Pertamina, ExxonMobil ",Storage,2022,2030,Planned,,,Storage,Dedicated storage,Sunda Asri Basin CCUS hub,East Asia & Pacific
Sundsvall Korsta plant CCS,Sweden,"Liquid Wind, Sundsvall Energi",Capture,2023,2026,Planned,,0.063,Power and heat,Dedicated storage,,Europe & Central Asia
Susitna Power Plant (AK),United States,The Commonwealth of Virginia DoE (Big Stone Gap),Capture,2023,,Planned,,,Power and heat,Dedicated storage,Alaska Railbelt CCS Project (AK),North America
Sustainable Fuels Group - CIP blue ammonia plant,United States,"Sustainable Fuels Group, Copenhagen Infrastructure Partners (CIP) ",Capture,2023,2027,Planned,,2.4,Hydrogen or ammonia,Unknown/unspecified,,North America
Sutter Decarbonization Project (CA),United States,"Gas Technology Institute, Calpine, 1pointfive (storage)",T&S,2023,2028,Planned,1.8,1.8,T&S,Dedicated storage,Sutter Decarbonization Project (CA),North America
Svante capture Linde SMR plant (TX) ,United States,BP,Capture,2021,2026,Planned,1.1,1.1,Hydrogen or ammonia,Dedicated storage,,North America
Sweetwater Carbon Storage Hub (WY),United States,"University of Wyoming, Frontier Carbon Solutions Holdings LLC ",Storage,2023,,Planned,1.27,1.27,Storage,Dedicated storage,Sweetwater Carbon Storage Hub (WY),North America
TA’ZIZ blue ammonia,United Arab Emirates,"ADNOC, TA'ZIZ, Fertiglobe, Mitsui, GS Energy",Full chain,2020,2025,Planned,,1.658,Hydrogen or ammonia,Unknown/unspecified,,Middle East & North Africa
Taiwan Cement Hoping oxyfuel pilot,Taiwan,"Taiwan cement, Thyssenkrupp Polysius",Capture,2024,2026,Planned,0.1,0.1,Cement,Unknown/unspecified,,East Asia & Pacific
Taiwan Cement Hoping/Heping plant,Taiwan,Taiwan cement,CCU,2019,2030,Planned,0.1,0.1,Cement,Use,,East Asia & Pacific
Tambak Lorok Gas-Fired Power Plant,Indonesia,"JERA, JGC Holdings, PLN",Full Chain,2023,,Planned,,,Power and heat,Unknown/unspecified,,East Asia & Pacific
Tampa Regional Intermodal Carbon HUB (T-RICH) (FL),United States,"Overseas Shipholding Group, Inc.",Transport,2023,,Planned,2,2,Transport,Unknown/unspecified,Tampa Regional Intermodal Carbon HUB (T-RICH) (FL),North America
Tangguh CCUS hub,Indonesia,BP,Storage,2023,,Planned,,,Storage,Dedicated storage,Tangguh CCUS hub,East Asia & Pacific
Tangguh LNG EGR,Indonesia,"BP (Mitsubishi, Inpex,  JX  Nippon,  KG  Mitsui,  LNG  Japan,  CNOOC), ITB",Full chain,2021,2027,Planned,2.9,3.3,Natural gas processing/LNG,EOR,Tangguh CCUS hub,East Asia & Pacific
Tarastenjärvi power (Tampere),Finland,"RenGas, Tampereen Energia",CCU,2021,2026,Planned,0.11,0.11,Power and heat,Use,,Europe & Central Asia
Tees Valley Energy Recovery Facility (TVERF),United Kingdom,Hartlepool Borough Council (leading partnership with 6 other councils),Capture,2022,2026,Planned,,,Power and heat,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Terrell Natural Gas Processing Plant (former Val Verde) (TX),United States,"Blue Source, Occidental (Oxy), Chevron",Full chain,,1972,Operational,0.45,0.5,Natural gas processing/LNG,EOR,,North America
Tharaldson Ethanol Casselton biorefinery (ND),United States,"Tharaldson Ethanol, Summit Carbon Solutions",Capture,2021,2024,Planned,0.465,0.501,Biofuels,Dedicated storage,Midwest carbon express,North America
The Bluestreak CO2 Joint Venture,United Kingdom,"Navigator Holdings (50%), Bumi Armada Berhad (50%) ",T&S,2023,,Planned,30,30,T&S,Dedicated storage,,Europe & Central Asia
The ZEROS project Chambers & Liberty County (Jefferson) (TX),United States,Texas Water Resources Institute,Capture,2019,2024,Planned,1.5,1.5,Power and heat,EOR,,North America
Thorning storage,Denmark,Unknown partners,Storage,2022,,Planned,,,Storage,Dedicated storage,,Europe & Central Asia
Timberland Sequestration project (AL),United States,"Timberlands Sequestration LLC, Alabama River Cellulose (ARC), Georgia Pacific LLC",Full chain,2023,,Planned,2,2,Other industry,Dedicated storage,Timberland Sequestration project,North America
Tohoku Region West Coast CCS,Japan,"ITOCHU, ITOCHU Oil exploration  Mitsubishi HI, INPEX, Taisei",T&S,2023,2030,Planned,2,2,T&S,Dedicated storage,Tohoku Region West Coast CCS,East Asia & Pacific
Tohoku Region West Coast CCS - Nippon Steel,Japan,Nippon Steel,Capture,2023,2030,Planned,,,Iron and steel,Dedicated storage,Tohoku Region West Coast CCS,East Asia & Pacific
Tohoku Region West Coast CCS - Taiheiyo Cement ,Japan,Taiheiyo Cement Corporation,Capture,2023,2030,Planned,,,Cement,Dedicated storage,Tohoku Region West Coast CCS,East Asia & Pacific
Tomakomai area CCS,Japan,"Idemitsu, Hokkaido Electric Power, JAPEX",T&S,2023,2030,Planned,1.5,1.5,T&S,Dedicated storage,Tomakomai area CCS,East Asia & Pacific
Tomakomai area CCS - Hokkaido Electric Tomatouatsuma power station,Japan,Hokkaido Electric Power,Capture,2023,2030,Planned,,,Power and heat,Dedicated storage,Tomakomai area CCS,East Asia & Pacific
Tomakomai area CCS - Idemitsu Kosan Hokkaido Refinery,Japan,Idemitsu,Capture,2023,2030,Planned,,,Other fuel transformation,Dedicated storage,Tomakomai area CCS,East Asia & Pacific
Tourmaline Clearwater CCUS (ALB),Canada, Tourmaline Oil Corp.,Storage,2022,,Planned,10,10,Storage,Dedicated storage,Tourmaline Clearwater CCUS (ALB),North America
Tracy DAC facility,United States,"Heirloom, CarbonCure",CCU,2021,2023,Operational,0.001,0.001,DAC,Use,,North America
Trailblazer CO2 pipeline,United States,Tallgrass energy,Transport,2022,,Planned,10,10,Transport,Dedicated storage,Eastern Wyoming Sequestration Hub (WY),North America
"Tri-state project (WV, OH, PA)",United States,Southern States Energy Board,Storage,2023,,Planned,,,Storage,Dedicated storage,"Tri-state project (WV, OH, PA)",North America
Trudvang storage project (EXL007),Norway,"Eni (following acquisition of Neptune Energy)  (30%), Sval (40% op), Storegga (30%)",Storage,2023,2029,Planned,7.5,10,Storage,Dedicated storage,Trudvang storage project,Europe & Central Asia
Tulare County Carbon Storage Project (CA),United States,Advanced Resources International Inc.,Storage,2023,,Planned,,,Storage,Dedicated storage,Tulare County Carbon Storage Project (CA),North America
Tumbler Ridge blue methanol project (BC),Canada,"RH2C, CMC and West Moberly First Nations",Capture,2015,2028,Planned,,,Hydrogen or ammonia,Dedicated storage,,North America
Tumbler Ridge e-methanol project (BC),Canada,"RH2C, CMC and West Moberly First Nations",CCU,2015,2028,Planned,,0.233,Other industry,Use,,North America
Twence Hengelo facility,Netherlands,"Twence, Aker CC (tech)",CCU,2019,2024,Under construction,0.1,0.1,Power and heat,Use,,Europe & Central Asia
UK Poseidon CCS project phase 1,United Kingdom,"Prenco UK (operator), Carbon Catalyst Ltd, Wintershall dea (10% of carbon catalyst license)",Storage,2023,2029,Planned,1.5,1.5,Storage,Dedicated storage,UKCS Poseidon CCS project,Europe & Central Asia
UK Poseidon CCS project phase 2,United Kingdom,"Prenco UK (operator), Carbon Catalyst Ltd, Wintershall dea (10% of carbon catalyst license)",Storage,2023,2030,Planned,8.5,8.5,Storage,Dedicated storage,UKCS Poseidon CCS project,Europe & Central Asia
UK Poseidon CCS project phase 2,United Kingdom,"Prenco UK (operator), Carbon Catalyst Ltd, Wintershall dea (10% of carbon catalyst license)",Storage,2023,2040,Planned,30,30,Storage,Dedicated storage,UKCS Poseidon CCS project,Europe & Central Asia
Umea Dava plant CCS,Sweden,"Liquid Wind, Umea Energi",Capture,2023,2026,Planned,,0.094,Power and heat,Dedicated storage,,Europe & Central Asia
Unita Basin Carbon SAFE (UT),United States,University of Utah,Storage,2023,,Planned,,,Storage,Dedicated storage,Unita Basin Carbon SAFE (UT),North America
Uthmaniyah CO2-EOR demonstration,Saudi Arabia,Saudi Aramco,Full chain,2013,2015,Operational,0.8,0.8,Natural gas processing/LNG,Mixed,,Middle East & North Africa
Valero Port Arthur Refinery (TX),United States,"Air products, ExxonMobil (formerly Denbury carbon solutions)",Full chain,2009,2013,Operational,0.9,0.9,Other fuel transformation,EOR,,North America
Vattenfall Jordbro CHP plant,Sweden,"Vattenfall, Aker CC",Capture,2023,,Planned,0.4,0.4,Power and heat,Unknown/unspecified,,Europe & Central Asia
Växjö Energi CHP CCS Sandviksverket,Sweden,Växjö Energi ,Capture,2021,2027,Planned,0.18,0.18,Power and heat,Dedicated storage,,Europe & Central Asia
Velocys Bayou Fuels (MS),United States,"Velocys, Oxy low carbon ventures (Occidental) (Storage contract), Bechtel (FEED)",Capture,2019,2026,Planned,0.4,0.5,Biofuels,EOR,Livingston Parish CO2 sequestration hub (LA),North America
Venture Global CCS Cameron (LA),United States,Venture Global,T&S,2021,,Planned,1,1,T&S,Dedicated storage,Venture Global CCS Cameron (LA),North America
Venture Global LNG Calcasieu Pass CCS (LA),United States,Venture Global,Capture,2021,,Planned,0.5,0.5,Natural gas processing/LNG,Unknown/unspecified,Venture Global CCS Cameron (LA),North America
Venture Global LNG CP2 liquefaction facility CCS (LA),United States,Venture Global,Capture,2021,,Planned,0.5,0.5,Natural gas processing/LNG,Dedicated storage,Venture Global CCS Cameron (LA),North America
Venture Global LNG Plaquemines CCS (LA),United States,Venture Global,Capture,2021,,Planned,,,Natural gas processing/LNG,Unknown/unspecified,Venture Global CCS Cameron (LA),North America
Veolia EfW to fuels,United Kingdom,Veolia,CCU,2024,2030,Planned,,,Power and heat,Use,,Europe & Central Asia
Vestforbrænding's Ejby incineration plant,Denmark,"Vestforbrænding, Technip (FEED)",Capture,2019,2026,Planned,0.45,0.45,Power and heat,Dedicated storage,,Europe & Central Asia
Vicksburg Containerboard Mill (MS),United States,"RTI International, IP, SLB, Amazon",Capture,2024,,Planned,0.12,0.12,Other industry,Unknown/unspecified,,North America
Viking CCS Phase 1,United Kingdom,"Harbour Energy (60% operator), BP (40%), kent (engineering provider), Technip energies (FEED transport)",T&S,2020,2027,Planned,3.6,3.6,T&S,Dedicated storage,Viking CCS,Europe & Central Asia
Viking CCS Phase 2,United Kingdom,"Harbour Energy (operator), BP (40%), Technip energies (FEED transport)",T&S,2020,2030,Planned,6.4,6.4,T&S,Dedicated storage,Viking CCS,Europe & Central Asia
Viking CCS Phase 3,United Kingdom,"Harbour Energy (operator), BP (40%), Technip energies (FEED transport)",T&S,2020,2035,Planned,5,5,T&S,Dedicated storage,Viking CCS,Europe & Central Asia
Virginia CarbonSafe storage (VA),United States,The Commonwealth of Virginia DoE (Big Stone Gap),Storage,2023,,Planned,4,4,Storage,Dedicated storage,Virginia CarbonSafe storage (VA),North America
Virgo (LA),United States,ExxonMobil (formerly Denbury carbon solutions),Storage,2022,2026,Planned,7.5,5,Storage,Unknown/unspecified,,North America
Viridor Runcorn CCS project,United Kingdom,"Viridor, Aker CC (tech/pre FEED), Cowi (pre-FEED)",Capture,2021,2025,Planned,0.9,0.9,Power and heat,Dedicated storage,Liverpool Bay CO2 storage (Hynet),Europe & Central Asia
VISION 2025,Greece,HELLENiQ ENERGY - Helpe,Capture,2021,2030,Planned,0.6,0.6,Other fuel transformation,Unknown/unspecified,,Europe & Central Asia
Voestalpine hot briquetted iron plant Portland (TX),United States,"Board of Trustees of the University of Illinois, Voestalpine, Air Liquide",Capture,2022,,Planned,,,Iron and steel,Dedicated storage,,North America
VPI Immingham CHP plant CCS,United Kingdom,VPI Immingham (Vitol),Capture,2019,2027,Planned,3,3,Power and heat,Dedicated storage,Viking CCS,Europe & Central Asia
Wabash Valley Resources/Wabash CarbonSAFE (IN),United States,"Wabash Valley Resources, Wabash Carbon services, University of Illinois, Illinois State Geological Survey (CarbonSAFE)",Full chain,2016,2024,Planned,1.65,1.65,Hydrogen or ammonia,Dedicated storage,Wabash CarbonSAFE (IN),North America
WAH2 Blue  Ammonia Project - phase 1,Australia,Hexagon Energy Materials ,Capture,2022,2028,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,East Asia & Pacific
WAH2 Blue  Ammonia Project - phase 2,Australia,Hexagon Energy Materials ,Capture,2022,,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,East Asia & Pacific
Waste to energy CCU to TES Wilhemshaven (unknown facility),Germany,"Aker CC, TES",CCU,2023,,Planned,0.4,0.4,Power and heat,Use,,Europe & Central Asia
Waste to hydrogen Boson Energy (BEH2X LAVNT),Latvia,Boson Energy SA,CCU,2022,2024,Planned,,,Hydrogen or ammonia,Use,,Europe & Central Asia
Waste-to-energy Aker CC (unknown facility),France,Aker CC,Capture,2023,,Planned,0.2,0.2,Power and heat,Unknown/unspecified,,Europe & Central Asia
West bay storage Galveston (TX),United States,BP carbon solutions,Storage,2023,,Planned,,,Storage,Dedicated storage,West bay storage Galveston (TX),North America
West Java sea rig-to-CCS JSA,Indonesia,"Pertamina, KNOC",Storage,2024,,Planned,,,Storage,Dedicated storage,,East Asia & Pacific
Weyburn-Midale storage,Canada,Whitecap Resources Inc. and Cardinal Energy LTD.,Storage,,2020,Operational,3,3,Storage,EOR,,North America
WH2V therminal (Wilhelshaven green energy hub phase 1),Belgium,TES,Transport,2022,2029,Planned,10,10,Transport,Dedicated storage,German Carbon Grid,Europe & Central Asia
Whiting Refinery,United States,BP Carbon Solutions LLC,Capture,2023,,Planned,,,Other fuel transformation,Dedicated storage,"Project Crossroads (IN, IL, MI)",North America
Wilhelmshaven Energy Hub BlueHyNow,Germany,Wintershall Dea,Capture,2022,2026,Planned,1.3,1.3,Hydrogen or ammonia,Dedicated storage,WH2V eng hub,Europe & Central Asia
William Echo Springs CarbonSAFE (WY),United States,"University of Wyoming, Williams",Storage,2023,,Planned,,1.667,Storage,Dedicated storage,William Echo Springs CarbonSAFE (WY),North America
Wintershall Dea Luna storage,Norway,"Wintershall Dea (60%), TotalEnergies (40%) (formerly owned by CapeOmega)",Storage,2022,2030,Planned,5,5,Storage,Dedicated storage,Wintershall dea Luna,Europe & Central Asia
Wintershall Dea-Equinor Gernany-Norway pipeline phase 1,Germany,"Wintershall Dea, Equinor",Transport,2022,2032,Planned,20,20,Transport,Dedicated storage,Wintershall Dea-Equinor Gernany-Norway pipeline,Europe & Central Asia
Wintershall Dea-Equinor Gernany-Norway pipeline phase 2,Germany,"Wintershall Dea, Equinor",Transport,2022,2037,Planned,20,20,Transport,Dedicated storage,Wintershall Dea-Equinor Gernany-Norway pipeline,Europe & Central Asia
Woodside Browse CCS Assessment,Australia,Woodside energy,Full chain,2022,,Planned,,,Natural gas processing/LNG,Dedicated storage,,East Asia & Pacific
Yamal LNG,Russia,Novatek,Full chain,,,Planned,,,Natural gas processing/LNG,Unknown/unspecified,,Europe & Central Asia
Yanchang integrated CCUS Yulin Coal Chemical (Shaanxi) phase 1,China,Yanchang Petroleum,Full chain,2015,2022,Operational,0.3,0.3,Other fuel transformation,EOR,Yanchang oilfield,East Asia & Pacific
Yanchang integrated CCUS Yulin Coal Chemical (Shaanxi) phase 2,China,Yanchang Petroleum,Full chain,2022,,Planned,2.4,2.4,Other fuel transformation,EOR,Yanchang oilfield,East Asia & Pacific
Yanchang integrated CCUS Yulin Coal Chemical (Shaanxi) phase 3,China,Yanchang Petroleum,Full chain,2022,,Planned,2.3,2.3,Other fuel transformation,EOR,Yanchang oilfield,East Asia & Pacific
Yara Pilbara ammonia,Australia,"Yara, JERA",Capture,2021,,Planned,,,Hydrogen or ammonia,Unknown/unspecified,,East Asia & Pacific
Yara Sluiskil fertiliser,Netherlands,Yara,Capture,2022,2026,Under construction,0.8,0.8,Chemicals,Dedicated storage,Northern Lights,Europe & Central Asia
Yara-BASF Gulf Coast,United States,"Yara, BASF",Capture,2023,2028,Planned,,2.1,Hydrogen or ammonia,Unknown/unspecified,,North America
ZerCal250,United Kingdom,"Origin, Singleton Birch",Capture,2021,,Planned,,,Cement,Dedicated storage,Northern Endurance Partnership,Europe & Central Asia
Zutica and Ivanic grad EOR extension,Croatia,INA/MOL,Storage,,,Planned,,,Storage,EOR,,Europe & Central Asia
